name,weight,area,height,wall_thickness,inertia,plastic,radius,moment self,compression self
HSS355.6X355.6X22.2,223,29641,356,22.2,550453595,3298104,136.2732794,4.5575625,10.93815
HSS508X508X15.9,240,31298,508,15.9,1263182093,5133843,200.8989837,4.905,11.772
HSS457.2X457.2X19,255,33456,457,19.1,1069219680,4883397,178.7719264,5.2115625,12.50775
HSS406.4X406.4X22.2,258,34081,406,22.2,836713212,4360152,156.6856939,5.272875,12.6549
HSS508X508X19,285,37352,508,19.1,1487997563,6087124,199.5925892,5.8246875,13.97925
HSS457.2X457.2X22.2,293,38610,457,22.2,1216551004,5595911,177.5063567,5.9881875,14.37165
HSS558.8X558.8X19,315,41248,559,19.1,2003927894,7423330,220.413252,6.4378125,15.45075
HSS508X508X22.2,329,43139,508,22.2,1696814031,6985649,198.3270195,6.7239375,16.13745
HSS558.8X558.8X22.2,364,47668,559,22.2,2289281701,8529366,219.1476823,7.43925,17.8542
EDI_Std_Nomenclature,W,A,Ht,tnom,Ix,Z,r,Ms,Ps
Units,kg/m,mm^2,mm,mm,mm^4,mm^3,mm,kNm,kN
