name,weight,area,depth,flange_width,web_thickness,flange_thickness,inertia_x,plastic_x,radius_x,inertia_y,plastic_y,radius_y,moment_self,compression_self
W840X193,193,24700,841,292,14.7,21.7,2790,7650,335,90.7,975,60.7,3.9444375,9.46665
W460X193,193,24700,490,284,17,30.5,1020,4750,204,116,1260,68.6,3.9444375,9.46665
W610X195,195,24900,622,328,15.4,24.4,1670,6060,259,142,1340,75.4,3.9853125,9.56475
W760X196,196,25000,770,267,15.6,25.4,2400,7160,310,81.6,957,57.2,4.00575,9.6138
W530X196,196,25000,554,315,16.5,26.4,1340,5460,232,139,1350,74.4,4.00575,9.6138
W360X196,196,25000,373,373,16.4,26.2,637,3830,160,228,1850,95.5,4.00575,9.6138
W920X201,201,25700,904,305,15.2,20.1,3250,8340,356,93.7,978,60.5,4.1079375,9.85905
W310X202,202,25700,340,315,20.1,31.8,516,3510,142,166,1610,80.3,4.128375,9.9081
W840X210,210,26800,846,292,15.4,24.4,3100,8420,340,102,1100,61.7,4.291875,10.3005
W460X213,213,27100,495,284,18.5,33.5,1140,5280,205,129,1400,69.1,4.3531875,10.44765
W360X216,216,27500,376,394,17.3,27.7,712,4260,161,282,2180,101,4.4145,10.5948
W610X217,217,27700,627,328,16.5,27.7,1910,6850,262,163,1530,76.5,4.4349375,10.64385
W690X217,217,27900,696,356,15.4,24.8,2360,7600,292,184,1600,81.3,4.4349375,10.64385
W530X219,219,27900,561,318,18.3,29.2,1510,6110,233,157,1520,74.9,4.4758125,10.74195
W760X220,220,28100,780,267,16.5,30,2780,8190,315,94.5,1110,57.9,4.49625,10.791
W1000X222,222,28300,970,300,16,21.1,4080,9800,381,95.3,1020,58.2,4.537125,10.8891
W920X223,223,28600,912,305,15.9,23.9,3760,9520,363,112,1160,62.7,4.5575625,10.93815
W310X226,226,28800,348,318,22.1,35.6,595,3980,144,189,1820,81,4.618875,11.0853
W840X226,226,29000,851,295,16.1,26.9,3400,9160,343,114,1210,62.7,4.618875,11.0853
W460X235,235,29900,500,287,20.6,36.6,1270,5830,206,144,1550,69.6,4.8028125,11.52675
W360X237,237,30100,381,396,18.9,30.2,791,4700,162,311,2390,102,4.8436875,11.62485
W920X238,238,30300,914,305,16.5,25.9,4060,10200,366,123,1270,63.5,4.864125,11.6739
W690X240,240,30700,701,356,16.8,27.4,2630,8440,292,207,1790,82,4.905,11.772
W610X241,241,30800,635,330,17.9,31,2150,7670,264,184,1720,77.5,4.9254375,11.82105
W530X248,248,31500,572,315,19.1,34.5,1780,7080,238,181,1770,75.9,5.0685,12.1644
W1000X249,249,31800,980,300,16.5,26.2,4830,11400,389,118,1250,61,5.0889375,12.21345
W840X251,251,31900,859,292,17,31,3870,10300,348,129,1380,63.5,5.1298125,12.31155
W920X253,253,32300,919,305,17.3,27.9,4370,10900,368,133,1370,64.3,5.1706875,12.40965
W310X253,253,32300,356,320,24.4,39.6,687,4510,146,215,2060,81.8,5.1706875,12.40965
W760X257,257,32800,772,381,16.6,27.2,3430,9950,323,249,2020,86.9,5.2524375,12.60585
W460X260,260,33200,508,290,22.6,40.4,1440,6520,208,163,1740,70.1,5.31375,12.753
W610X262,262,33400,640,328,19.1,34,2360,8370,267,199,1880,77.2,5.354625,12.8511
W360X262,262,33400,386,399,21.1,33.3,891,5240,163,349,2670,102,5.354625,12.8511
W690X265,265,33900,706,358,18.4,30.2,2920,9340,295,231,2000,82.6,5.4159375,12.99825
W1000X272,272,34400,991,300,16.5,30.5,5490,12700,399,138,1450,63.2,5.559,13.3416
W920X271,271,34600,922,307,18.4,30,4700,11800,368,144,1490,64.8,5.5385625,13.29255
W530X272,272,34600,577,318,21.1,37.6,1970,7800,239,201,1950,76.2,5.559,13.3416
W310X283,283,36100,366,323,26.9,44.2,787,5100,148,245,2340,82.6,5.7838125,13.88115
W760X284,284,36200,780,381,18,30.2,3830,11100,325,280,2260,87.9,5.80425,13.9302
W460X286,286,36300,518,292,24.4,44.5,1610,7240,210,183,1950,70.9,5.845125,14.0283
W610X285,285,36500,648,330,20.6,37.1,2610,9160,267,221,2060,78,5.8246875,13.97925
W360X287,287,36600,394,399,22.6,36.6,999,5820,165,388,2950,103,5.8655625,14.07735
W920X289,289,36800,927,307,19.4,32,5040,12600,371,156,1600,65,5.9064375,14.17545
W690X289,289,36800,714,356,19.1,34,3270,10300,297,258,2230,83.6,5.9064375,14.17545
W1000X296,296,37900,983,401,16.5,27.2,6200,14200,406,289,2250,87.6,6.0495,14.5188
W840X299,299,38100,856,399,18.2,29.2,4830,12700,356,312,2410,90.4,6.1108125,14.66595
W530X300,300,38300,584,320,23.1,41.4,2210,8690,241,226,2180,76.7,6.13125,14.715
W610X307,307,39200,653,330,22.1,39.9,2840,9930,269,241,2250,78.2,6.2743125,15.05835
W920X313,313,39900,932,310,21.1,34.5,5490,13700,371,171,1750,65.5,6.3969375,15.35265
W310X313,313,39900,373,325,30,48.3,891,5700,150,276,2610,83.3,6.3969375,15.35265
W360X314,314,40000,399,401,24.9,39.6,1110,6390,166,429,3240,103,6.417375,15.4017
W1000X314,314,40100,1000,300,19.1,36.1,6450,14800,401,162,1720,63.8,6.417375,15.4017
W760X314,314,40200,785,384,19.7,33.5,4290,12300,328,315,2540,88.6,6.417375,15.4017
W460X315,315,40200,526,295,26.9,48.5,1800,8030,212,205,2160,71.6,6.4378125,15.45075
W1000X321,321,41000,991,401,16.5,31,6950,15800,411,334,2560,89.9,6.5604375,15.74505
W690X323,323,41200,721,358,21.1,38.1,3710,11700,300,293,2520,84.3,6.6013125,15.84315
W840X329,329,42100,861,401,19.7,32.5,5370,14000,358,350,2690,91.2,6.7239375,16.13745
W530X332,332,42900,594,323,25.4,45.5,2530,9850,243,256,2460,77.2,6.78525,16.2846
W610X341,341,43400,660,333,24.4,43.9,3180,11100,272,271,2520,79,6.9691875,16.72605
